ダウンロードした時刻：2024/07/09 16:09:27

,浜松,浜松,浜松,浜松,浜松,浜松
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1996/5/9,15.6,8,1,20.3,8,1
1996/5/10,17.9,8,1,23.7,8,1
1996/5/11,19.1,8,1,24.6,8,1
1996/5/12,18.5,8,1,23.8,8,1
1996/5/13,17.0,8,1,22.7,8,1
1996/5/14,15.8,8,1,19.8,8,1
1996/5/15,19.0,8,1,26.3,8,1
1996/5/16,17.2,8,1,20.9,8,1
1996/5/17,17.6,8,1,24.0,8,1
1996/5/18,15.7,8,1,17.5,8,1
1996/5/19,15.9,8,1,20.1,8,1
1996/5/20,17.8,8,1,20.7,8,1
1996/5/21,19.6,8,1,23.8,8,1
1996/5/22,18.1,8,1,21.9,8,1
1996/5/23,19.9,8,1,25.3,8,1
1996/5/24,21.1,8,1,26.1,8,1
1996/5/25,20.0,8,1,24.3,8,1
1996/5/26,20.6,8,1,25.3,8,1
1996/5/27,20.9,8,1,24.6,8,1
1996/5/28,21.6,8,1,25.0,8,1
1996/5/29,20.6,8,1,23.3,8,1
1996/5/30,21.5,8,1,26.5,8,1
1996/5/31,23.1,8,1,27.9,8,1
1996/6/1,21.3,8,1,26.2,8,1
1996/6/2,20.3,8,1,24.2,8,1
1996/6/3,21.8,8,1,26.2,8,1
1996/6/4,22.0,8,1,25.3,8,1
1996/6/5,20.7,8,1,25.2,8,1
1996/6/6,19.7,8,1,24.7,8,1
1996/6/7,20.6,8,1,24.9,8,1
1996/6/8,20.3,8,1,24.5,8,1
1996/6/9,18.5,8,1,20.9,8,1
1996/6/10,17.8,8,1,19.2,8,1
1996/6/11,22.7,8,1,29.3,8,1
1996/6/12,22.3,8,1,25.5,8,1
1996/6/13,20.9,8,1,22.6,8,1
1996/6/14,21.0,8,1,22.7,8,1
1996/6/15,23.3,8,1,28.5,8,1
1996/6/16,24.9,8,1,31.1,8,1
1996/6/17,23.9,8,1,27.6,8,1
1996/6/18,21.9,8,1,23.2,8,1
1996/6/19,22.4,8,1,26.2,8,1
1996/6/20,21.3,8,1,25.3,8,1
1996/6/21,22.6,8,1,27.1,8,1
1996/6/22,22.9,8,1,26.2,8,1
1996/6/23,21.5,8,1,23.5,8,1
1996/6/24,21.9,8,1,26.1,8,1
1996/6/25,24.1,8,1,27.8,8,1
1996/6/26,24.0,8,1,27.4,8,1
1996/6/27,21.1,8,1,25.3,8,1
1996/6/28,22.0,8,1,26.9,8,1
1996/6/29,27.2,8,1,32.4,8,1
1996/6/30,24.7,8,1,29.6,8,1
1996/7/1,25.0,8,1,29.9,8,1
1996/7/2,24.8,8,1,29.1,8,1
1996/7/3,24.8,8,1,29.9,8,1
1996/7/4,23.8,8,1,26.7,8,1
1996/7/5,23.1,8,1,24.7,8,1
1996/7/6,23.8,8,1,28.3,8,1
1996/7/7,22.1,8,1,25.7,8,1
1996/7/8,20.1,8,1,21.6,8,1
1996/7/9,21.3,8,1,24.0,8,1
1996/7/10,22.9,8,1,27.0,8,1
1996/7/11,25.3,8,1,31.1,8,1
1996/7/12,24.4,8,1,31.3,8,1
1996/7/13,24.9,8,1,29.4,8,1
1996/7/14,26.1,8,1,30.2,8,1
1996/7/15,27.0,8,1,30.7,8,1
1996/7/16,27.2,8,1,30.2,8,1
1996/7/17,27.4,8,1,30.6,8,1
1996/7/18,27.7,8,1,31.2,8,1
1996/7/19,28.2,8,1,31.5,8,1
1996/7/20,24.5,8,1,27.3,8,1
1996/7/21,26.3,8,1,30.3,8,1
1996/7/22,25.4,8,1,28.4,8,1
1996/7/23,26.0,8,1,30.6,8,1
1996/7/24,25.9,8,1,29.1,8,1
1996/7/25,26.8,8,1,30.3,8,1
1996/7/26,27.9,8,1,31.1,8,1
1996/7/27,27.9,8,1,31.4,8,1
1996/7/28,28.0,8,1,30.9,8,1
1996/7/29,28.5,8,1,31.8,8,1
1996/7/30,28.0,8,1,31.2,8,1
1996/7/31,28.2,8,1,32.0,8,1
1996/8/1,28.0,8,1,31.5,8,1
