ダウンロードした時刻：2024/07/10 01:11:24

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1975/2/28,4.4,8,1,7.9,8,1
1975/3/1,3.6,8,1,7.9,8,1
1975/3/2,4.6,8,1,9.2,8,1
1975/3/3,5.2,8,1,9.6,8,1
1975/3/4,6.6,8,1,10.2,8,1
1975/3/5,3.8,8,1,6.6,8,1
1975/3/6,4.8,8,1,9.7,8,1
1975/3/7,7.2,8,1,12.6,8,1
1975/3/8,8.8,8,1,12.8,8,1
1975/3/9,13.4,8,1,17.9,8,1
1975/3/10,8.4,8,1,12.0,8,1
1975/3/11,9.9,8,1,14.4,8,1
1975/3/12,9.2,8,1,14.5,8,1
1975/3/13,7.2,8,1,11.5,8,1
1975/3/14,6.1,8,1,8.1,8,1
1975/3/15,4.9,8,1,6.9,8,1
1975/3/16,6.2,8,1,10.5,8,1
1975/3/17,5.7,8,1,9.7,8,1
1975/3/18,6.6,8,1,12.2,8,1
1975/3/19,6.0,8,1,10.1,8,1
1975/3/20,5.5,8,1,8.7,8,1
1975/3/21,11.3,8,1,17.9,8,1
1975/3/22,10.2,8,1,16.7,8,1
1975/3/23,9.5,8,1,12.7,8,1
1975/3/24,7.0,8,1,9.7,8,1
1975/3/25,6.0,8,1,9.8,8,1
1975/3/26,5.5,8,1,8.5,8,1
1975/3/27,8.0,8,1,12.4,8,1
1975/3/28,9.5,8,1,13.8,8,1
1975/3/29,11.2,8,1,16.7,8,1
1975/3/30,11.7,8,1,18.5,8,1
1975/3/31,10.5,8,1,16.6,8,1
1975/4/1,8.9,8,1,13.5,8,1
1975/4/2,8.3,8,1,12.4,8,1
1975/4/3,9.6,8,1,14.4,8,1
1975/4/4,10.7,8,1,16.8,8,1
1975/4/5,12.9,8,1,17.1,8,1
1975/4/6,16.4,8,1,23.6,8,1
1975/4/7,14.3,8,1,20.0,8,1
1975/4/8,13.0,8,1,14.5,8,1
1975/4/9,15.1,8,1,21.1,8,1
1975/4/10,16.0,8,1,21.1,8,1
1975/4/11,15.0,8,1,20.4,8,1
1975/4/12,13.2,8,1,18.0,8,1
1975/4/13,13.6,8,1,16.9,8,1
1975/4/14,14.6,8,1,18.2,8,1
1975/4/15,16.3,8,1,21.3,8,1
1975/4/16,15.6,8,1,19.1,8,1
1975/4/17,15.0,8,1,16.9,8,1
1975/4/18,13.2,8,1,16.2,8,1
1975/4/19,14.6,8,1,18.3,8,1
1975/4/20,15.7,8,1,21.1,8,1
1975/4/21,9.9,8,1,15.0,8,1
1975/4/22,7.9,8,1,11.4,8,1
1975/4/23,9.0,8,1,12.8,8,1
1975/4/24,9.0,8,1,10.2,8,1
1975/4/25,12.1,8,1,13.8,8,1
1975/4/26,15.7,8,1,19.8,8,1
1975/4/27,17.3,8,1,21.9,8,1
1975/4/28,19.6,8,1,23.9,8,1
1975/4/29,20.0,8,1,23.4,8,1
1975/4/30,18.0,8,1,22.2,8,1
1975/5/1,17.8,8,1,22.7,8,1
1975/5/2,17.5,8,1,22.0,8,1
1975/5/3,16.8,8,1,19.2,8,1
1975/5/4,20.3,8,1,23.2,8,1
1975/5/5,22.4,8,1,26.9,8,1
1975/5/6,15.0,8,1,17.4,8,1
1975/5/7,15.6,8,1,19.8,8,1
1975/5/8,17.8,8,1,21.5,8,1
1975/5/9,18.0,8,1,21.7,8,1
1975/5/10,16.7,8,1,19.7,8,1
1975/5/11,16.2,8,1,20.8,8,1
1975/5/12,17.7,8,1,22.9,8,1
1975/5/13,18.8,8,1,22.9,8,1
1975/5/14,19.0,8,1,22.1,8,1
1975/5/15,19.3,8,1,24.1,8,1
1975/5/16,17.5,8,1,19.0,8,1
1975/5/17,18.0,8,1,21.8,8,1
1975/5/18,18.7,8,1,22.1,8,1
1975/5/19,14.0,8,1,19.1,8,1
1975/5/20,14.8,8,1,20.6,8,1
1975/5/21,17.4,8,1,22.9,8,1
1975/5/22,17.5,8,1,22.2,8,1
1975/5/23,19.5,8,1,23.8,8,1
1975/5/24,20.0,8,1,24.2,8,1
1975/5/25,18.8,8,1,21.8,8,1
1975/5/26,17.3,8,1,21.4,8,1
1975/5/27,18.1,8,1,22.4,8,1
1975/5/28,19.1,8,1,23.8,8,1
1975/5/29,21.0,8,1,25.5,8,1
1975/5/30,21.2,8,1,26.1,8,1
1975/5/31,18.2,8,1,21.4,8,1
1975/6/1,19.6,8,1,23.8,8,1
1975/6/2,20.1,8,1,24.2,8,1
1975/6/3,19.9,8,1,23.5,8,1
1975/6/4,21.5,8,1,25.7,8,1
1975/6/5,18.7,8,1,21.8,8,1
1975/6/6,21.6,8,1,27.0,8,1
1975/6/7,19.2,8,1,20.6,8,1
1975/6/8,21.3,8,1,25.8,8,1
1975/6/9,22.0,8,1,27.0,8,1
1975/6/10,21.6,8,1,26.4,8,1
1975/6/11,17.2,8,1,18.0,8,1
1975/6/12,18.0,8,1,21.5,8,1
1975/6/13,19.7,8,1,23.7,8,1
1975/6/14,19.1,8,1,21.4,8,1
1975/6/15,20.0,8,1,21.8,8,1
1975/6/16,22.0,8,1,26.2,8,1
1975/6/17,23.7,8,1,27.8,8,1
1975/6/18,24.5,8,1,26.5,8,1
1975/6/19,24.5,8,1,29.6,8,1
1975/6/20,22.6,8,1,24.9,8,1
1975/6/21,22.7,8,1,26.3,8,1
1975/6/22,19.2,8,1,21.2,8,1
1975/6/23,22.8,8,1,27.3,8,1
1975/6/24,21.9,8,1,24.8,8,1
1975/6/25,20.1,8,1,20.9,8,1
1975/6/26,22.3,8,1,26.1,8,1
1975/6/27,23.0,8,1,26.8,8,1
1975/6/28,20.4,8,1,22.1,8,1
1975/6/29,21.9,8,1,26.2,8,1
1975/6/30,21.2,8,1,24.4,8,1
1975/7/1,20.4,8,1,23.8,8,1
1975/7/2,20.9,8,1,24.3,8,1
1975/7/3,21.4,8,1,25.5,8,1
1975/7/4,19.3,8,1,21.6,8,1
1975/7/5,21.6,8,1,23.1,8,1
1975/7/6,23.8,8,1,27.0,8,1
1975/7/7,26.2,8,1,29.6,8,1
1975/7/8,25.7,8,1,29.4,8,1
1975/7/9,24.5,8,1,27.6,8,1
1975/7/10,23.6,8,1,25.1,8,1
1975/7/11,26.4,8,1,29.0,8,1
1975/7/12,24.4,8,1,29.4,8,1
1975/7/13,20.7,8,1,21.4,8,1
1975/7/14,22.2,8,1,24.6,8,1
1975/7/15,24.1,8,1,29.6,8,1
1975/7/16,25.1,8,1,29.8,8,1
1975/7/17,26.0,8,1,30.0,8,1
1975/7/18,27.6,8,1,33.5,8,1
1975/7/19,25.7,8,1,29.7,8,1
1975/7/20,25.4,8,1,29.1,8,1
1975/7/21,24.5,8,1,29.4,8,1
1975/7/22,25.4,8,1,29.1,8,1
1975/7/23,26.4,8,1,31.0,8,1
1975/7/24,26.8,8,1,31.1,8,1
1975/7/25,27.0,8,1,31.4,8,1
1975/7/26,27.1,8,1,31.9,8,1
1975/7/27,27.6,8,1,31.4,8,1
1975/7/28,27.7,8,1,31.3,8,1
1975/7/29,28.1,8,1,31.8,8,1
1975/7/30,28.2,8,1,32.4,8,1
1975/7/31,28.5,8,1,32.9,8,1
1975/8/1,28.1,8,1,32.0,8,1
1975/8/2,28.2,8,1,32.6,8,1
