ダウンロードした時刻：2024/07/10 01:13:36

,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
1975/3/28,10.2,8,1,14.8,8,1
1975/3/29,11.7,8,1,17.4,8,1
1975/3/30,11.8,8,1,18.1,8,1
1975/3/31,11.0,8,1,16.5,8,1
1975/4/1,9.7,8,1,14.9,8,1
1975/4/2,9.2,8,1,13.4,8,1
1975/4/3,10.1,8,1,15.8,8,1
1975/4/4,11.8,8,1,16.9,8,1
1975/4/5,13.6,8,1,17.9,8,1
1975/4/6,16.5,8,1,23.0,8,1
1975/4/7,15.8,8,1,21.0,8,1
1975/4/8,14.1,8,1,15.8,8,1
1975/4/9,16.4,8,1,21.6,8,1
1975/4/10,16.6,8,1,22.0,8,1
1975/4/11,15.7,8,1,20.8,8,1
1975/4/12,13.7,8,1,18.1,8,1
1975/4/13,14.2,8,1,17.4,8,1
1975/4/14,15.6,8,1,19.0,8,1
1975/4/15,17.9,8,1,22.2,8,1
1975/4/16,16.6,8,1,19.4,8,1
1975/4/17,15.9,8,1,18.1,8,1
1975/4/18,13.6,8,1,17.8,8,1
1975/4/19,14.5,8,1,18.5,8,1
1975/4/20,16.2,8,1,21.4,8,1
1975/4/21,9.8,8,1,16.0,8,1
1975/4/22,7.8,8,1,11.1,8,1
1975/4/23,8.9,8,1,11.6,8,1
1975/4/24,9.6,8,1,11.1,8,1
1975/4/25,12.5,8,1,14.8,8,1
1975/4/26,16.6,8,1,21.4,8,1
1975/4/27,18.0,8,1,21.7,8,1
1975/4/28,19.9,8,1,23.7,8,1
1975/4/29,20.2,8,1,22.4,8,1
1975/4/30,18.4,8,1,24.0,8,1
1975/5/1,18.7,8,1,24.1,8,1
1975/5/2,18.3,8,1,22.3,8,1
1975/5/3,17.5,8,1,19.8,8,1
1975/5/4,19.2,8,1,22.7,8,1
1975/5/5,23.1,8,1,28.3,8,1
1975/5/6,15.1,8,1,17.2,8,1
1975/5/7,16.3,8,1,20.6,8,1
1975/5/8,18.4,8,1,22.1,8,1
1975/5/9,19.2,8,1,22.9,8,1
1975/5/10,17.2,8,1,21.7,8,1
1975/5/11,17.3,8,1,21.9,8,1
1975/5/12,18.6,8,1,23.1,8,1
1975/5/13,19.5,8,1,24.3,8,1
1975/5/14,19.7,8,1,22.4,8,1
1975/5/15,20.3,8,1,25.0,8,1
1975/5/16,18.4,8,1,19.9,8,1
1975/5/17,18.3,8,1,21.6,8,1
1975/5/18,19.0,8,1,22.6,8,1
1975/5/19,14.3,8,1,19.8,8,1
1975/5/20,15.7,8,1,22.1,8,1
1975/5/21,17.8,8,1,22.9,8,1
1975/5/22,17.8,8,1,22.4,8,1
1975/5/23,20.0,8,1,24.4,8,1
1975/5/24,20.6,8,1,24.9,8,1
1975/5/25,18.7,8,1,22.3,8,1
1975/5/26,18.0,8,1,21.4,8,1
1975/5/27,17.7,8,1,22.5,8,1
1975/5/28,19.5,8,1,24.8,8,1
1975/5/29,21.5,8,1,26.1,8,1
1975/5/30,21.7,8,1,26.8,8,1
1975/5/31,18.4,8,1,21.3,8,1
1975/6/1,19.3,8,1,24.6,8,1
1975/6/2,20.2,8,1,25.0,8,1
1975/6/3,20.6,8,1,24.0,8,1
1975/6/4,22.2,8,1,26.0,8,1
1975/6/5,19.6,8,1,22.5,8,1
1975/6/6,22.4,8,1,27.7,8,1
1975/6/7,19.8,8,1,22.2,8,1
1975/6/8,22.0,8,1,26.1,8,1
1975/6/9,23.0,8,1,27.0,8,1
1975/6/10,21.6,8,1,26.9,8,1
1975/6/11,17.9,8,1,19.9,8,1
1975/6/12,17.9,8,1,22.1,8,1
1975/6/13,19.5,8,1,23.7,8,1
1975/6/14,19.6,8,1,22.4,8,1
1975/6/15,20.6,8,1,23.0,8,1
1975/6/16,22.5,8,1,26.4,8,1
1975/6/17,24.0,8,1,27.9,8,1
1975/6/18,25.0,8,1,28.0,8,1
1975/6/19,25.0,8,1,29.5,8,1
1975/6/20,23.2,8,1,25.3,8,1
1975/6/21,23.2,8,1,26.8,8,1
1975/6/22,19.9,8,1,22.3,8,1
1975/6/23,23.8,8,1,27.6,8,1
1975/6/24,22.8,8,1,25.5,8,1
1975/6/25,20.1,8,1,21.4,8,1
1975/6/26,22.8,8,1,27.2,8,1
1975/6/27,23.5,8,1,27.1,8,1
1975/6/28,21.1,8,1,22.4,8,1
1975/6/29,22.6,8,1,26.3,8,1
1975/6/30,21.5,8,1,24.1,8,1
1975/7/1,20.4,8,1,23.3,8,1
1975/7/2,21.2,8,1,25.0,8,1
1975/7/3,21.6,8,1,26.2,8,1
1975/7/4,19.6,8,1,21.5,8,1
1975/7/5,22.1,8,1,23.9,8,1
1975/7/6,24.2,8,1,27.4,8,1
1975/7/7,27.6,8,1,31.5,8,1
1975/7/8,27.1,8,1,31.6,8,1
1975/7/9,25.0,8,1,28.7,8,1
1975/7/10,23.4,8,1,24.5,8,1
1975/7/11,27.5,8,1,31.1,8,1
1975/7/12,24.1,8,1,28.0,8,1
1975/7/13,20.9,8,1,22.1,8,1
1975/7/14,23.4,8,1,26.3,8,1
1975/7/15,25.9,8,1,31.3,8,1
1975/7/16,26.1,8,1,31.2,8,1
1975/7/17,27.2,8,1,31.9,8,1
1975/7/18,28.9,8,1,35.6,8,1
1975/7/19,26.3,8,1,29.7,8,1
1975/7/20,25.9,8,1,29.3,8,1
1975/7/21,25.3,8,1,30.4,8,1
1975/7/22,26.0,8,1,29.6,8,1
1975/7/23,27.4,8,1,31.5,8,1
1975/7/24,27.6,8,1,32.3,8,1
1975/7/25,27.8,8,1,32.2,8,1
1975/7/26,28.4,8,1,32.3,8,1
